,Unnamed: 0,bug_id,at_1,at_2,at_3,at_4,at_5,at_10,component,assignees,author,chosen,similar_bug,jaccard_score,history_at_1,history_at_2,history_at_3,history_at_4,history_at_5,history_at_6,history_at_7,history_at_8,history_at_9,history_at_10,history_at_1_v,history_at_2_v,history_at_3_v,history_at_4_v,history_at_5_v,history_at_6_v,history_at_7_v,history_at_8_v,history_at_9_v,history_at_10_v,code_at_1,code_at_2,code_at_3,code_at_4,code_at_5,code_at_6,code_at_7,code_at_8,code_at_9,code_at_10,code_at_1_v,code_at_2_v,code_at_3_v,code_at_4_v,code_at_5_v,code_at_6_v,code_at_7_v,code_at_8_v,code_at_9_v,code_at_10_v,api_at_1,api_at_2,api_at_3,api_at_4,api_at_5,api_at_6,api_at_7,api_at_8,api_at_9,api_at_10,api_at_1_v,api_at_2_v,api_at_3_v,api_at_4_v,api_at_5_v,api_at_6_v,api_at_7_v,api_at_8_v,api_at_9_v,api_at_10_v,report_time
385,6059,347302,1,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Dani Megert,30700,0.03524904214559387,JDT-UI-Inbox,Martin Aeschlimann,Markus Keller,Dani Megert,Dirk Baeumer,Benno Baumgartner,Tobias Widmer,Tom Hofmann,Adam Kiezun,Erich Gamma,258.5171120444333,233.9203618064928,213.9554983625013,213.3741546230458,198.46161979712738,178.04730904871482,146.39750282404898,127.13158459801996,107.55065221139549,105.52782335269288,Dani Megert,Markus Keller,Martin Aeschlimann,Raksha Vasisht,Deepak Azad,Benno Baumgartner,Dirk Baeumer,teicher,Adam Kiezun,Erich Gamma,93.76627085536735,88.09331329028933,55.21498403146694,54.14941345568019,49.161415134456576,33.93751483625459,29.727503953758198,26.433281886005826,25.680740855256637,25.092471402597962,Markus Keller,Dani Megert,Raksha Vasisht,Deepak Azad,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Adam Kiezun,94917.83624060912,79083.70421104721,40421.360680572805,36829.81138136966,21172.650833044845,20250.960626629658,17513.88131118515,17438.630892876277,17016.098215862443,15956.157322199822,2011-05-26 12:32:51
130,5804,306752,1,1,1,1,1,1,JDT-Text,Dani Megert,Dani Megert,Dani Megert,178744,0.11875,Dani Megert,Martin Aeschlimann,Markus Keller,JDT-Text-Inbox,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Tom Hofmann,Erich Gamma,Adam Kiezun,19.84665251108472,19.362537942850878,15.878470604270095,10.650867437805266,10.175021352909583,6.132400800225532,5.909732001819572,5.491499533900495,4.617150123016079,4.02937693022823,Dani Megert,Markus Keller,Martin Aeschlimann,Dirk Baeumer,teicher,Tobias Widmer,Adam Kiezun,Benno Baumgartner,Claude Knaus,Kai-Uwe Maetzel,10.268136742645336,7.225572200622969,3.110458343077808,2.767105905933076,2.1752151074546298,1.600613186599494,1.5532405756214183,1.5132517606797566,1.2333764828266371,1.1535384339019386,Markus Keller,Dani Megert,Benno Baumgartner,Martin Aeschlimann,teicher,Tobias Widmer,Dirk Baeumer,Adam Kiezun,Erich Gamma,Kai-Uwe Maetzel,774618.1717858792,218725.54116834266,51350.34969643243,49384.80006379038,39198.42810148603,37978.444614846536,35312.402370569995,30801.14961045397,27535.464862435023,26862.683564201758,2010-03-22 18:41:45
132,5806,306763,1,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Dani Megert,178744,0.10497237569060773,Dani Megert,Markus Keller,Martin Aeschlimann,JDT-UI-Inbox,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Adam Kiezun,Erich Gamma,Tom Hofmann,23.0632222696752,22.639026933678263,22.15853710091432,19.207483538300306,13.846748512845005,10.400096725814103,9.170866617532665,8.030320155090998,7.558241363623358,7.376817816037267,Dani Megert,Markus Keller,teicher,Dirk Baeumer,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Claude Knaus,Raksha Vasisht,Andre Weinand,12.267681555185714,10.923804501264264,2.873110584880948,2.8146560430367957,2.655445008842584,2.4963822233606603,2.1507161977569034,1.8543268969739732,1.8305656466718927,1.8019675210289952,Markus Keller,Dani Megert,Benno Baumgartner,Martin Aeschlimann,teicher,Tobias Widmer,Dirk Baeumer,Adam Kiezun,Erich Gamma,Kai-Uwe Maetzel,712890.5775900346,217594.6107167516,51347.87170498777,49383.68871007954,39197.316761968286,37978.06147820213,35312.147837858196,30801.027492181463,27535.310360721527,26862.55243973255,2010-03-22 20:05:53
261,5935,327079,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,116223,0.14942528735632185,Markus Keller,Martin Aeschlimann,JDT-UI-Inbox,Dani Megert,Benno Baumgartner,Tobias Widmer,Dirk Baeumer,Erich Gamma,Tom Hofmann,Adam Kiezun,13.258647528946435,12.368800747782375,10.258437227811775,9.953100813356553,9.806195382945443,8.354055653048487,7.996227769976111,6.961786400341482,5.314859000004789,5.310296866726617,Dani Megert,Markus Keller,Raksha Vasisht,Benno Baumgartner,Martin Aeschlimann,Deepak Azad,teicher,Tobias Widmer,Dirk Baeumer,Adam Kiezun,3.3866957729650284,3.355498889100516,2.1314067860026342,1.5596343825491594,1.5419281263156968,1.4446488543350446,1.415468118410087,1.413942472158145,1.3727741124156263,1.2974751301794378,Dani Megert,Markus Keller,Raksha Vasisht,Martin Aeschlimann,Benno Baumgartner,Deepak Azad,teicher,Tobias Widmer,Dirk Baeumer,Adam Kiezun,121979.04176271065,75460.49226014844,41250.90314298064,26370.122870326402,26219.4694616958,24991.663028787807,21718.96341054968,21301.5218087631,20562.633359556203,18615.31487661296,2010-10-06 09:34:20
271,5945,329614,1,1,1,1,1,1,JDT-Text,Markus Keller,Markus Keller,Markus Keller,55899,0.09615384615384616,Markus Keller,Martin Aeschlimann,Dani Megert,JDT-Text-Inbox,Benno Baumgartner,Dirk Baeumer,Tom Hofmann,Tobias Widmer,Adam Kiezun,Erich Gamma,16.45475794325825,15.096509114767553,14.510467790357733,12.710583110336964,11.991963259739189,10.375638443437056,8.781075275678369,8.73062932748165,6.871673907228629,6.150435711490829,Markus Keller,Dani Megert,Deepak Azad,Raksha Vasisht,Martin Aeschlimann,teicher,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Adam Kiezun,10.65465089605267,7.943705166374602,5.9289671361838305,2.9105976233807387,2.246578194167111,2.188268438204703,2.138548467251705,1.9958285554654676,1.931190997261331,1.851734496362905,Dani Megert,Deepak Azad,Markus Keller,Raksha Vasisht,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Adam Kiezun,326385.34326539794,200322.59514608482,193710.26920039888,59162.229814621016,43213.07547971116,42351.20088241859,34400.978630516154,33941.97198902025,32710.652540618354,28869.26416471184,2010-11-06 15:32:47
277,5951,330680,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,18082,0.1068702290076336,Markus Keller,Benno Baumgartner,Martin Aeschlimann,Dani Megert,Dirk Baeumer,JDT-UI-Inbox,Tobias Widmer,Tom Hofmann,Erich Gamma,Adam Kiezun,21.5872275318518,20.572725405191086,19.937328825806,18.753750830099982,17.876463332024965,14.786973012647334,12.862628002071604,9.636572939429827,8.67480304954825,8.59112000749492,Markus Keller,Dani Megert,Deepak Azad,Martin Aeschlimann,Raksha Vasisht,teicher,Dirk Baeumer,Benno Baumgartner,Tobias Widmer,Adam Kiezun,8.416511975994414,8.08118423964805,5.2291568543609435,3.1474178773212653,2.92903674741917,2.8296035592058533,2.5894859719025054,2.513700700821586,2.4350676400167828,2.4249793365116283,Dani Megert,Markus Keller,Deepak Azad,Raksha Vasisht,Martin Aeschlimann,Benno Baumgartner,teicher,Tobias Widmer,Dirk Baeumer,Adam Kiezun,90604.1526516225,77648.09271810885,63046.688625458424,50802.50692472712,25766.540685675995,25433.87325348253,21203.702350249867,20931.8727702935,20283.90951722379,18534.342664709035,2010-11-19 16:32:02
158,5832,310687,1,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Dani Megert,62386,0.07792207792207792,JDT-UI-Inbox,Markus Keller,Dani Megert,Martin Aeschlimann,Dirk Baeumer,Benno Baumgartner,Tobias Widmer,Adam Kiezun,Tom Hofmann,Erich Gamma,18.151795303564715,11.946183868257199,11.081170289424334,11.056499928109028,7.9890801637599616,7.5514766794115005,6.293705628006442,5.067961699941283,4.750960067511323,4.5475373832092005,Dani Megert,Markus Keller,Martin Aeschlimann,teicher,Kai-Uwe Maetzel,Erich Gamma,Claude Knaus,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,5.530633379424256,5.053316834507596,1.9179679438960529,1.767226320942637,1.5399825641047984,1.467113397041819,1.4649956004031082,1.270008810293321,1.2063673469589935,1.1882761288424872,Markus Keller,Dani Megert,Benno Baumgartner,Martin Aeschlimann,Deepak Azad,teicher,Tobias Widmer,Raksha Vasisht,Dirk Baeumer,Adam Kiezun,402188.9719062125,256119.9947399677,47691.76488171236,46399.84721383159,43609.84742159017,36779.20950258964,35705.735791948195,34337.38118954265,33796.045704509655,29448.3121147974,2010-04-27 18:26:24
31,5705,294322,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,221767,0.0986842105263158,Markus Keller,Dani Megert,Martin Aeschlimann,JDT-UI-Inbox,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Ferenc Hechler,Erich Gamma,Grant Gayed,31.35847696064773,29.68556556966752,26.505951698234945,23.626604959470736,20.07468647278672,19.461246848494188,12.976836347529032,11.98427055791047,10.948626067010903,10.714195153733717,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,teicher,Tobias Widmer,Erich Gamma,Adam Kiezun,Andre Weinand,10.068903652557438,8.94622838805099,4.185881059917201,3.1975851554946937,3.1179425976574646,2.9210978462578385,2.7848120900430753,2.358373083969476,2.281236707272312,2.1008574804548337,Dani Megert,Markus Keller,Benno Baumgartner,Martin Aeschlimann,teicher,Tobias Widmer,Dirk Baeumer,Adam Kiezun,Erich Gamma,Kai-Uwe Maetzel,281105.6909507938,121018.10218608026,59522.59455594804,52013.60720763073,42163.795328547625,38563.428880075124,35572.4380117852,30772.47575803165,27611.113716589283,26892.56006643261,2009-11-05 14:25:09
417,6091,357997,1,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Dani Megert,185401,0.060240963855421686,Martin Aeschlimann,Markus Keller,Dani Megert,Dirk Baeumer,JDT-UI-Inbox,Benno Baumgartner,Tobias Widmer,Adam Kiezun,Tom Hofmann,Erich Gamma,26.683459615580002,18.64836760248159,17.545846387654606,15.65487193487428,15.22788221256341,13.187841326599615,11.033114996497149,10.320068219490578,10.021071217854342,9.302574585497196,Dani Megert,Markus Keller,Raksha Vasisht,Martin Aeschlimann,teicher,Tobias Widmer,Dirk Baeumer,Benno Baumgartner,Kai-Uwe Maetzel,Deepak Azad,10.006256161564805,6.553337244117483,3.726293714236789,3.1898587514249837,2.8719360690963964,2.8186294284633853,2.7419322561666166,2.6850866891226546,2.5065195681367958,2.470262722895042,Markus Keller,Dani Megert,Raksha Vasisht,Deepak Azad,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Dirk Baeumer,teicher,Adam Kiezun,317260.9713581348,209942.15856963425,144713.07338954776,119852.22878219564,70201.83598691662,62769.45072182883,54220.56589463106,53883.68974171699,52073.614380680316,48393.125824567265,2011-09-17 04:27:58
164,5838,311162,1,1,1,1,1,1,JDT-Text,Dani Megert,Dani Megert,Dani Megert,49177,0.125,Dani Megert,JDT-Text-Inbox,Markus Keller,Tom Hofmann,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,Tomasz Zarna,Adam Kiezun,Tobias Widmer,0.9041919025883932,0.7713115629870598,0.6378311697204873,0.5820033705700927,0.5806981049695141,0.5484233558433842,0.42600069625348735,0.361623035557039,0.2363446868802365,0.20092071380663465,Markus Keller,Dani Megert,Benno Baumgartner,teicher,Martin Aeschlimann,Tobias Widmer,Dirk Baeumer,Christof Marti,Kai-Uwe Maetzel,Erich Gamma,0.1929349861072655,0.16079773843109352,0.10196027109766273,0.09955086743607792,0.0954393040182618,0.0924679286575575,0.08513115340332908,0.08417361985209336,0.08376017503483361,0.08353977195128258,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Deepak Azad,teicher,Tobias Widmer,Dirk Baeumer,Raksha Vasisht,Adam Kiezun,580117.8862064389,345179.03758981964,80609.43683587287,79199.31126738756,63266.92601799272,61399.458232892735,59336.438495394206,58078.990815474266,57484.074329339855,51284.64351400072,2010-04-30 12:20:30
