,bug_id,at_1,at_2,at_3,at_4,at_5,at_10,component,assignees,assignees_copy,author,chosen,similar_bug,jaccard_score,history_at_1,history_at_2,history_at_3,history_at_4,history_at_5,history_at_6,history_at_7,history_at_8,history_at_9,history_at_10,history_at_1_v,history_at_2_v,history_at_3_v,history_at_4_v,history_at_5_v,history_at_6_v,history_at_7_v,history_at_8_v,history_at_9_v,history_at_10_v,code_at_1,code_at_2,code_at_3,code_at_4,code_at_5,code_at_6,code_at_7,code_at_8,code_at_9,code_at_10,code_at_1_v,code_at_2_v,code_at_3_v,code_at_4_v,code_at_5_v,code_at_6_v,code_at_7_v,code_at_8_v,code_at_9_v,code_at_10_v,api_at_1,api_at_2,api_at_3,api_at_4,api_at_5,api_at_6,api_at_7,api_at_8,api_at_9,api_at_10,api_at_1_v,api_at_2_v,api_at_3_v,api_at_4_v,api_at_5_v,api_at_6_v,api_at_7_v,api_at_8_v,api_at_9_v,api_at_10_v,report_time
5674,287947,0,1,1,1,1,1,JDT-Text,Dani Megert,Dani Megert,Dani Megert,Markus Keller,267682,0.3076923076923077,Markus Keller,JDT-UI-Inbox,Dani Megert,JDT-Text-Inbox,Martin Aeschlimann,Benno Baumgartner,Deepak Azad,Dirk Baeumer,Tobias Widmer,Raksha Vasisht,6.805196782202747,3.1927369847938927,2.6112071939489665,1.5640798896494137,1.5357130345651446,1.1781131408924348,1.074127379247529,1.0009592150322333,0.9361883677026672,0.7862360383390935,Markus Keller,Dani Megert,Benno Baumgartner,Tom Hofmann,Martin Aeschlimann,Tobias Widmer,Dirk Baeumer,Andre Weinand,Adam Kiezun,Erich Gamma,0.9128723628382189,0.5914712570062809,0.2741653725069746,0.25948155150975105,0.257322182933202,0.2234109178016051,0.2071777699094806,0.1944395153658513,0.1942166332077289,0.19266497027461735,Dirk Baeumer,Robert M. Fuhrer,platform-cvs-inbox,Maxime Daniel,PDE-UI-Inbox,Sonia Dimitrov,Stefan Xenos,Christophe Cornu,Chris McLaren,Douglas Pollock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009-08-28 10:08:08
5675,288060,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,Markus Keller,209465,0.15217391304347827,Markus Keller,Dani Megert,JDT-UI-Inbox,JDT-Text-Inbox,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Erich Gamma,Deepak Azad,72.48818278400293,33.96030550668868,31.111019540262003,26.473480244794306,24.401197520955066,22.22057329083206,18.256157055713384,13.396291741785262,11.720042656786447,11.12171536106055,Markus Keller,Dani Megert,Martin Aeschlimann,Dirk Baeumer,Benno Baumgartner,Tom Hofmann,Tobias Widmer,Adam Kiezun,Erich Gamma,Kai-Uwe Maetzel,11.877582582436968,8.639580345174695,4.4159467657939855,3.428414098746308,3.3169983576323854,3.1545145905226226,2.8743422616335086,2.6896769947688086,2.641012797751824,2.319631815860396,Martin Aeschlimann,Markus Keller,Dani Megert,Benno Baumgartner,Dirk Baeumer,Adam Kiezun,Tobias Widmer,Tom Hofmann,Darin Wright,Kai-Uwe Maetzel,442.40922531661266,411.7968552544149,366.52390720359205,214.9825918172104,156.00766228567878,136.85799388137974,133.7132790553539,121.63293184567065,85.79946769109455,80.36130293520435,2009-08-30 20:05:35
5676,288121,0,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Dani Megert,Markus Keller,188861,0.3333333333333333,Markus Keller,Dani Megert,JDT-UI-Inbox,Benno Baumgartner,Martin Aeschlimann,JDT-Text-Inbox,Tobias Widmer,Adam Kiezun,Dirk Baeumer,Tom Hofmann,5.131128694290494,2.9063728035446466,2.739383135090231,2.5705008314711013,1.814824319640594,1.648355234766714,1.5470609864783227,0.9529926590358213,0.8076760697210059,0.6745519826358823,Markus Keller,Dani Megert,Tom Hofmann,Tobias Widmer,Benno Baumgartner,Dirk Baeumer,Erich Gamma,Christof Marti,Martin Aeschlimann,Kai-Uwe Maetzel,0.6889614861228787,0.44257743946130385,0.25630265936796004,0.24573413568021507,0.2354109268208433,0.23079380302791264,0.22907220577335713,0.2066056885503087,0.19503128758851843,0.15863341230253783,Dani Megert,Markus Keller,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Tom Hofmann,Dirk Baeumer,Darin Wright,Adam Kiezun,Claude Knaus,494.68971486514334,350.71713376070056,267.26512332170716,178.05017046424535,127.98534930968816,124.83182445422345,122.63436291409971,108.91885271722433,100.88833329850704,72.16731047661739,2009-08-31 13:49:25
5677,288143,1,1,1,1,1,1,JDT-Text,Dani Megert,Dani Megert,Dani Megert,Dani Megert,188861,0.3,Markus Keller,Dani Megert,JDT-UI-Inbox,Benno Baumgartner,Martin Aeschlimann,JDT-Text-Inbox,Tobias Widmer,Adam Kiezun,Dirk Baeumer,Tom Hofmann,5.885592459870988,3.1297353079998764,2.963714130731202,2.762157699469639,2.119708867299539,1.7905812204763847,1.731705652883933,1.0810603184605543,0.9793245372806713,0.8151065230756095,Dani Megert,Markus Keller,Tom Hofmann,Tobias Widmer,Benno Baumgartner,Dirk Baeumer,Erich Gamma,Christof Marti,Martin Aeschlimann,Kai-Uwe Maetzel,15.378997986298998,0.8221055083915493,0.2960025329818461,0.2726425446149185,0.2674340680614009,0.2563176568777548,0.25267583855116754,0.23103463235245147,0.2257390018950489,0.18273006717720613,Dani Megert,Markus Keller,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Tom Hofmann,Dirk Baeumer,Darin Wright,Adam Kiezun,Claude Knaus,945.66729723827,349.835227556661,267.2670429882173,178.04124095655044,127.98860199836687,124.83295900052529,122.63838331358927,108.92140802151177,100.89215448381333,72.16853560984707,2009-08-31 15:30:42
5678,288211,0,0,0,0,0,0,JDT-APT,Satyam Kandula,Satyam Kandula,Markus Keller,Dani Megert,50676,0.14285714285714285,JDT-Text-Inbox,Markus Keller,Dani Megert,Martin Aeschlimann,JDT-UI-Inbox,Dirk Baeumer,Benno Baumgartner,Tobias Widmer,Andre Weinand,Philipe Mulet,2.2417893483503337,1.6760299815413755,1.4860429575714371,1.4169043908921735,0.9338487380878936,0.5522579923863044,0.4364510124381572,0.41670131396993326,0.32885280139908524,0.3227903912647897,Dani Megert,Martin Aeschlimann,Markus Keller,Tobias Widmer,Dirk Baeumer,Tom Hofmann,Christof Marti,Kai-Uwe Maetzel,Andre Weinand,Erich Gamma,0.36616418415940044,0.35772188152649187,0.3505471135358465,0.1099003204124992,0.10818979154046243,0.10737553322817295,0.10592839853132788,0.1041363226093519,0.10403710389915412,0.10386773569874927,Dani Megert,Markus Keller,Martin Aeschlimann,Dirk Baeumer,Benno Baumgartner,Tobias Widmer,Adam Kiezun,Tom Hofmann,Andre Weinand,Darin Wright,479.56281073558824,258.4206094972855,175.70332585737236,170.794107374549,132.0500896441542,90.02521033885924,86.31226838935798,84.13723171013649,70.80148368750538,66.49672313070305,2009-09-01 06:15:50
5679,288242,1,1,1,1,1,1,JDT-Text,Dani Megert,Dani Megert,Dani Megert,Dani Megert,164449,0.102803738317757,Markus Keller,Dani Megert,JDT-Text-Inbox,Martin Aeschlimann,Tom Hofmann,JDT-UI-Inbox,Benno Baumgartner,Tobias Widmer,Dirk Baeumer,Claude Knaus,32.36036016517112,24.810814033310464,22.326065273717134,15.699192633017987,15.116916187806623,14.230211289671491,11.343069634408547,9.292981544148452,8.117287961195043,5.716104257676907,Dani Megert,Markus Keller,Tom Hofmann,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Dirk Baeumer,Adam Kiezun,Kai-Uwe Maetzel,Andre Weinand,6.44428122961823,5.204864991605976,2.321255422476886,2.2422337923376654,2.161283365380378,1.865619495128611,1.4954992648274958,1.4584056930856122,1.429718149911555,1.3569414624935476,Dani Megert,Markus Keller,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Tom Hofmann,Dirk Baeumer,Darin Wright,Adam Kiezun,Claude Knaus,855.1846779344211,339.7726201187906,267.2087533658641,177.84822384395827,127.97557296809137,124.79729485077458,122.63165851993114,108.91978321542805,100.89090986855817,72.16725206300778,2009-09-01 12:48:17
5680,288385,0,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Dani Megert,Markus Keller,251817,0.08839127872716558,Markus Keller,Dani Megert,JDT-UI-Inbox,Benno Baumgartner,Martin Aeschlimann,JDT-Text-Inbox,Tobias Widmer,Dirk Baeumer,Tom Hofmann,Adam Kiezun,1517.0795875175706,654.0920452055495,646.3540043985104,397.9879472603884,360.5678695276935,327.8634561800415,282.13721324799195,251.9094804935307,195.69635599625673,149.59663393563784,Markus Keller,Dani Megert,Benno Baumgartner,Martin Aeschlimann,Dirk Baeumer,Tom Hofmann,Tobias Widmer,Adam Kiezun,Erich Gamma,Kai-Uwe Maetzel,911.8988311634896,167.40347068824096,49.65923899039119,48.46773174396249,41.82283960293702,37.47317737617033,37.061452390949704,29.762232013510854,28.702797321162763,25.504301339966805,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Tom Hofmann,Dirk Baeumer,Darin Wright,Adam Kiezun,Claude Knaus,3227.773802160332,644.5635358295127,267.1257172385056,177.58740913045918,127.95464437818292,124.74651804410244,122.6188970934808,108.91575197290118,100.8859450744647,72.16430098929847,2009-09-02 17:16:30
5681,288847,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,Markus Keller,182458,0.060146699266503664,Markus Keller,JDT-UI-Inbox,Dani Megert,Martin Aeschlimann,JDT-Text-Inbox,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Tom Hofmann,Erich Gamma,1239.4749755965995,835.2571026697007,658.7232476169818,510.2881554396789,389.95027264586736,375.4516020494847,310.25638240035227,278.0419210524419,232.425750023727,229.2424495381613,Markus Keller,Dani Megert,Martin Aeschlimann,Dirk Baeumer,Benno Baumgartner,Tom Hofmann,Tobias Widmer,Erich Gamma,Adam Kiezun,Kai-Uwe Maetzel,273.9407527011211,147.44314345728452,64.90354065459155,48.16999872079656,48.140603915041446,45.26219909243568,40.49991639370434,40.05624314143538,38.81445994385171,35.18808824590211,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,Adam Kiezun,Tobias Widmer,Tom Hofmann,Darin Wright,Kai-Uwe Maetzel,701.884823113043,466.8850239040216,441.73210361945485,212.97160546717836,155.90228852217982,136.8143431831095,133.55150033321206,121.25282325541552,85.77014665699305,80.31640843602192,2009-09-08 17:40:31
5682,288931,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,Markus Keller,140465,0.2777777777777778,Markus Keller,Tobias Widmer,JDT-UI-Inbox,Benno Baumgartner,Martin Aeschlimann,Dani Megert,JDT-Text-Inbox,Erich Gamma,Dirk Baeumer,Tom Hofmann,6.827927145053559,5.467455184089598,4.44413272098253,3.403851303241948,3.3807812078930044,2.756182848402307,1.6858848227147916,1.6186870772042536,1.3529604298928035,0.8984682603453684,Markus Keller,Dani Megert,Benno Baumgartner,Martin Aeschlimann,Erich Gamma,Adam Kiezun,Tom Hofmann,Christof Marti,Tobias Widmer,Dirk Baeumer,2.6376727372624442,1.00319338680479,0.45354842054599115,0.43134658251912833,0.39389851341156207,0.3564969693700086,0.31130600568641226,0.30527839446444066,0.2989057340193343,0.27421869038752467,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Tom Hofmann,Dirk Baeumer,Erich Gamma,Kai-Uwe Maetzel,Adam Kiezun,932.4789947947464,339.70594844575265,217.40127527842998,156.1674452079795,114.04554770733043,107.88402012100256,94.43292478987034,69.16923706507673,57.447424042971434,56.217053737696936,2009-09-09 12:17:04
5683,289028,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,Markus Keller,85327,0.09862385321100918,Markus Keller,JDT-UI-Inbox,Dani Megert,JDT-Text-Inbox,Martin Aeschlimann,Benno Baumgartner,Tom Hofmann,Tobias Widmer,Dirk Baeumer,Erich Gamma,712.2250848417175,453.6399718420311,411.70637887018125,265.83707069606737,256.0493504295481,237.17803468120235,155.6295333361334,154.68306265504756,147.99743685252398,87.88589916412538,Markus Keller,Dani Megert,Tom Hofmann,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,Erich Gamma,Tobias Widmer,Adam Kiezun,Kai-Uwe Maetzel,107.97580497073072,81.97946969579425,32.17252818360726,30.98370373078348,28.323167359549963,23.166784640892228,21.649386470343675,19.8987602287264,19.462470188983513,18.654673810523906,Markus Keller,Dani Megert,Benno Baumgartner,Martin Aeschlimann,Tobias Widmer,Tom Hofmann,Dirk Baeumer,Kai-Uwe Maetzel,Adam Kiezun,Christof Marti,520.4748755009246,299.77111794289794,157.85786668245242,150.62975139892418,118.51777431103048,101.83152019773664,86.86887678038501,59.75504584592946,56.591695555783026,55.14679849125244,2009-09-10 03:50:27
