,bug_id,at_1,at_2,at_3,at_4,at_5,at_10,component,assignees,assignees_copy,author,chosen,extra,confidence,history_at_1,history_at_2,history_at_3,history_at_4,history_at_5,history_at_6,history_at_7,history_at_8,history_at_9,history_at_10,history_at_1_v,history_at_2_v,history_at_3_v,history_at_4_v,history_at_5_v,history_at_6_v,history_at_7_v,history_at_8_v,history_at_9_v,history_at_10_v,code_at_1,code_at_2,code_at_3,code_at_4,code_at_5,code_at_6,code_at_7,code_at_8,code_at_9,code_at_10,code_at_1_v,code_at_2_v,code_at_3_v,code_at_4_v,code_at_5_v,code_at_6_v,code_at_7_v,code_at_8_v,code_at_9_v,code_at_10_v,api_at_1,api_at_2,api_at_3,api_at_4,api_at_5,api_at_6,api_at_7,api_at_8,api_at_9,api_at_10,api_at_1_v,api_at_2_v,api_at_3_v,api_at_4_v,api_at_5_v,api_at_6_v,api_at_7_v,api_at_8_v,api_at_9_v,api_at_10_v,report_time
3766,122052,0,1,1,1,1,1,JDT-Text,Tom Hofmann,Tom Hofmann,Tom Hofmann,Dani Megert,114098,0.2727272727272727,Tom Hofmann,Dani Megert,Tobias Widmer,Martin Aeschlimann,Kai-Uwe Maetzel,Christof Marti,Claude Knaus,Markus Keller,Adam Kiezun,lbourlier,10.376145465599297,9.65320678179588,2.766459155897668,2.569215615697927,1.2776324630788969,0.8876687188838905,0.6855921820712367,0.5621300040526209,0.18545610756483996,0.0,Tobias Widmer,Dani Megert,Tom Hofmann,Markus Keller,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,Andre Weinand,Kai-Uwe Maetzel,Christof Marti,0.5530433612766903,0.3969964396209361,0.33994556963524736,0.29365334073297444,0.2628579428706466,0.24761145072706814,0.16463409998146405,0.12626676933775421,0.12113712369235807,0.08235038187318333,Tobias Widmer,Martin Aeschlimann,Dani Megert,Tom Hofmann,Markus Keller,Dirk Baeumer,Benno Baumgartner,Kai-Uwe Maetzel,Erich Gamma,Christof Marti,154.32462417378696,101.72383831018533,93.9586765563658,79.36937385339677,61.51194324157025,61.29887357385872,49.440251157590616,22.434038411095813,21.16924658946608,20.766917552313558,2005-12-24 09:26:40
3767,122176,1,1,1,1,1,1,JDT-UI,Martin Aeschlimann,JDT-UI-Inbox,Martin Aeschlimann,Martin Aeschlimann,118606,0.06792452830188679,Martin Aeschlimann,Tobias Widmer,Dirk Baeumer,Markus Keller,Benno Baumgartner,Dani Megert,Erich Gamma,Adam Kiezun,Kai-Uwe Maetzel,Tom Hofmann,212.280147398915,145.00534719412587,128.2305163507873,120.15454939243054,98.32692749898035,64.29385378270794,42.11554681493632,36.99159413337396,26.848656468858202,25.70266986610875,Tobias Widmer,Martin Aeschlimann,Dirk Baeumer,Benno Baumgartner,Tom Hofmann,Dani Megert,Markus Keller,Erich Gamma,Adam Kiezun,Andre Weinand,11.806947890644034,10.582356725432405,10.46153179778208,8.419512508765896,8.166598998091049,6.7964545708569375,6.642466240129193,2.989600574173091,2.908595853677358,2.164113054415422,Martin Aeschlimann,Dani Megert,Tobias Widmer,Dirk Baeumer,Tom Hofmann,Markus Keller,Adam Kiezun,Benno Baumgartner,Darin Wright,Kai-Uwe Maetzel,292.5562642859916,156.97264869086175,155.3663361075542,120.78440343840713,92.94314090786956,81.37306222277152,75.40398572928342,50.481181112095655,41.76632761549742,38.615068924258274,2005-12-27 22:04:33
3768,122261,0,1,1,1,1,1,JDT-Text,Tom Hofmann,Tom Hofmann,Tom Hofmann,Dani Megert,65246,0.10600706713780919,Dani Megert,Tom Hofmann,Martin Aeschlimann,Kai-Uwe Maetzel,Christof Marti,Tobias Widmer,Claude Knaus,Adam Kiezun,Benno Baumgartner,Markus Keller,832.6089106285626,714.6760473953162,271.4709548092138,238.3515527406314,211.07636750340401,104.0261531998157,79.612965995661,76.97145752507373,34.634334722466136,24.950410624405873,Tobias Widmer,Tom Hofmann,Dani Megert,Martin Aeschlimann,Markus Keller,Dirk Baeumer,Benno Baumgartner,Erich Gamma,Kai-Uwe Maetzel,Christof Marti,18.802326617507735,18.44873081011824,15.447027855411076,15.21987304289145,13.71628087315556,13.193716639440385,12.160319293294172,7.107617713358979,6.011843841711545,5.902712965757662,Martin Aeschlimann,Dirk Baeumer,Tobias Widmer,Dani Megert,Tom Hofmann,Markus Keller,Adam Kiezun,Benno Baumgartner,Darin Wright,Erich Gamma,135.77784400420396,111.59701310185132,107.24497828879908,98.18293677824528,64.30290502940561,62.66961722957984,37.39284713125564,36.607082395045275,32.099319394445324,29.743584562294288,2005-12-28 18:42:32
3769,122319,0,0,1,1,1,1,JDT-UI,Dirk Baeumer,Dirk Baeumer,Dirk Baeumer,Martin Aeschlimann,85894,0.09833024118738404,Martin Aeschlimann,Markus Keller,Dirk Baeumer,Tobias Widmer,Benno Baumgartner,Dani Megert,Erich Gamma,Adam Kiezun,Tom Hofmann,Darin Wright,648.5867772726571,483.9620028671401,444.42113216836833,439.587120524293,366.3236622669055,283.86140117039406,158.93985228559254,145.87356243094882,120.85689111821556,120.01297062234512,Tobias Widmer,Markus Keller,Dani Megert,Benno Baumgartner,Martin Aeschlimann,Dirk Baeumer,Tom Hofmann,Erich Gamma,Adam Kiezun,Christof Marti,26.634433521229848,19.500734131659634,17.972117661764717,17.88982134179709,17.88014723781809,16.850103781751276,15.851920254115713,8.803141525741976,7.378725845974386,6.053134746903901,Martin Aeschlimann,Dirk Baeumer,Tobias Widmer,Dani Megert,Tom Hofmann,Markus Keller,Adam Kiezun,Benno Baumgartner,Darin Wright,Erich Gamma,143.63718285056828,117.68159980773427,112.57659713287394,103.96790832840362,68.77694948589001,67.17794909262211,39.80771283533723,38.74507658839534,33.88461622164888,32.20375734083841,2005-12-29 13:56:00
3770,122389,0,0,1,1,1,1,JDT-UI,Dirk Baeumer,Dirk Baeumer,Dirk Baeumer,Martin Aeschlimann,116342,0.2159090909090909,Martin Aeschlimann,Dirk Baeumer,Markus Keller,Tobias Widmer,Benno Baumgartner,Dani Megert,Adam Kiezun,Erich Gamma,Tom Hofmann,Kai-Uwe Maetzel,59.51892237627842,36.50500077428992,36.25128417420767,35.814554273019574,14.479682876897519,12.021456470024885,11.6544576531005,10.974829814015065,5.150683574275892,4.534368024251785,Tobias Widmer,Markus Keller,Martin Aeschlimann,Tom Hofmann,Dirk Baeumer,Dani Megert,Benno Baumgartner,Kai-Uwe Maetzel,Erich Gamma,Adam Kiezun,2.2844806408273945,2.1457593094715492,1.9613835799536088,1.7715082011103649,1.7123610346854037,1.642097177767152,1.1800460329176006,0.9140180880712576,0.8468042891673758,0.8322350592346153,Martin Aeschlimann,Dirk Baeumer,Tobias Widmer,Dani Megert,Tom Hofmann,Markus Keller,Adam Kiezun,Benno Baumgartner,Darin Wright,Erich Gamma,141.85618426355438,116.9793298461112,107.74797856503693,101.71343827231601,67.95714143125647,65.42504764249126,39.80114184744512,36.62249152679807,33.87753619284387,32.17291050488279,2005-12-30 16:49:01
3771,122490,0,1,1,1,1,1,JDT-UI,Tobias Widmer,Tobias Widmer,Tobias Widmer,Martin Aeschlimann,90930,0.09782608695652174,Martin Aeschlimann,Tobias Widmer,Dirk Baeumer,Markus Keller,Benno Baumgartner,Dani Megert,Adam Kiezun,Erich Gamma,Thomas Mäder,Kai-Uwe Maetzel,53.27461749086194,43.25705104959366,37.18949488878348,32.55431002080901,23.619776137914716,16.42356856413164,15.4255304743897,12.06361307254324,6.18117144061474,5.552838956425765,Dirk Baeumer,Tobias Widmer,Martin Aeschlimann,Markus Keller,Tom Hofmann,Dani Megert,Benno Baumgartner,Adam Kiezun,Christof Marti,Erich Gamma,2.144405221784384,2.1108683097712184,2.0041392780282603,1.8716405263113012,1.8260369452460643,1.5634225537750603,1.326467013460413,0.7040314818641188,0.6374615127177854,0.6132250797602691,Martin Aeschlimann,Tobias Widmer,Dani Megert,Tom Hofmann,Dirk Baeumer,Markus Keller,Benno Baumgartner,Kai-Uwe Maetzel,Christof Marti,Erich Gamma,111.84068562743525,105.49884313327769,81.85696352886364,71.26335614863538,68.62364998047951,53.93177761551742,30.118734105043654,27.7788197892802,26.327109575699176,26.176727806936775,2006-01-03 09:15:52
3772,122491,0,0,0,1,1,1,JDT-UI,Benno Baumgartner,Benno Baumgartner,Benno Baumgartner,Martin Aeschlimann,121983,0.1643835616438356,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Markus Keller,Dani Megert,Erich Gamma,Adam Kiezun,Thomas Mäder,Kai-Uwe Maetzel,32.594923792957076,29.043761564078117,20.118383079689853,18.899256257736447,18.361094790062463,11.86856506458731,8.024332656283846,7.80358677893521,4.468437527154081,4.321918432835872,Markus Keller,Tobias Widmer,Martin Aeschlimann,Benno Baumgartner,Dani Megert,Dirk Baeumer,Tom Hofmann,Erich Gamma,Adam Kiezun,Kai-Uwe Maetzel,1.8797067657140625,1.3186149991908753,1.1806782021598687,1.1005272070557177,1.0963443947153189,0.9237991611348759,0.808890747007772,0.5073718675803469,0.49969869874015344,0.4787551292277456,Martin Aeschlimann,Tobias Widmer,Dani Megert,Markus Keller,Dirk Baeumer,Benno Baumgartner,Tom Hofmann,Erich Gamma,Adam Kiezun,Kai-Uwe Maetzel,30.82376140942703,30.24561256442228,25.392450304812026,22.80351966210421,21.249125814306968,17.0663197383306,16.499340725500296,9.872148141269157,8.815836305882657,7.715638154488921,2006-01-03 09:22:55
3773,122501,1,1,1,1,1,1,JDT-Text,Tom Hofmann,Tom Hofmann,Tom Hofmann,Tom Hofmann,108515,0.10126582278481013,Tom Hofmann,Dani Megert,Kai-Uwe Maetzel,Martin Aeschlimann,Tobias Widmer,Claude Knaus,Christof Marti,Markus Keller,Benno Baumgartner,Adam Kiezun,44.276748234200326,41.11083633136028,12.86893876016178,10.045952220643846,7.093836364975305,5.677664406499663,4.367378910476538,3.9906904857755525,2.611330677061067,2.0446077936807328,Tom Hofmann,Martin Aeschlimann,Dani Megert,Markus Keller,Tobias Widmer,Benno Baumgartner,Dirk Baeumer,Erich Gamma,Kai-Uwe Maetzel,Christof Marti,5.85691650133475,1.1641838339420978,1.1463735045802945,1.0942510651558732,1.0792881550007694,0.8645220922351757,0.8117287645258007,0.5980808571503327,0.44892138005710147,0.412569847123411,Martin Aeschlimann,Tobias Widmer,Tom Hofmann,Dani Megert,Dirk Baeumer,Markus Keller,Kai-Uwe Maetzel,Erich Gamma,Christof Marti,Benno Baumgartner,89.04635730320547,82.68361748099399,72.2662988810367,69.9716874846841,56.04893267854198,45.58368402851299,22.340992402418923,20.96196063428873,20.653341743913586,20.520679795623543,2006-01-03 10:44:58
3774,122505,1,1,1,1,1,1,JDT-UI,Benno Baumgartner,Benno Baumgartner,Benno Baumgartner,Benno Baumgartner,63883,0.13157894736842105,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Markus Keller,Dani Megert,Adam Kiezun,Erich Gamma,Kai-Uwe Maetzel,Tom Hofmann,38.932780254562054,29.060358222854642,25.57546433375962,25.03381154102238,21.96485819197728,13.326751597876722,9.258430878855599,7.565834711579424,4.801140163117088,4.021415220677012,Benno Baumgartner,Markus Keller,Martin Aeschlimann,Tobias Widmer,Dani Megert,Tom Hofmann,Dirk Baeumer,Christof Marti,Kai-Uwe Maetzel,Erich Gamma,4.807737174342625,2.240099263787555,1.790705841862429,1.7388146666490187,1.5594794475693718,1.2634655180276422,1.2120536814413287,0.6612257991295644,0.6274705671680273,0.5448000252171284,Martin Aeschlimann,Dani Megert,Tobias Widmer,Dirk Baeumer,Tom Hofmann,Adam Kiezun,Markus Keller,Darin Wright,Kai-Uwe Maetzel,Erich Gamma,280.0334382981079,143.53165055782867,125.25355474257245,116.30411387991718,87.47560883837654,75.3546306477497,70.77478750421318,41.7188135170465,38.52629478761971,38.29795143609436,2006-01-03 12:06:52
3775,122566,0,0,1,1,1,1,JDT-UI,Tobias Widmer,Tobias Widmer,Tobias Widmer,Dirk Baeumer,49242,0.08574277168494517,Martin Aeschlimann,Tobias Widmer,Markus Keller,Dirk Baeumer,Benno Baumgartner,Dani Megert,Erich Gamma,Adam Kiezun,Andre Weinand,Tom Hofmann,545.6472026948231,484.2452926060051,442.0678501300833,377.99981670895465,246.1617715637378,229.41650441935093,146.35913859882677,135.34284176725086,118.6594631421123,102.68477181429797,Dirk Baeumer,Tom Hofmann,Tobias Widmer,Martin Aeschlimann,Benno Baumgartner,Markus Keller,Dani Megert,Erich Gamma,Adam Kiezun,Andre Weinand,57.487298909977945,48.73339274443503,32.61062345625974,27.059461829352315,26.778896048033953,25.870891132044463,15.72052462151894,8.779275855043975,7.590027966852586,6.653096997417963,Tom Hofmann,Dirk Baeumer,Markus Keller,Benno Baumgartner,Dani Megert,Martin Aeschlimann,Tobias Widmer,Christof Marti,Erich Gamma,Adam Kiezun,224.56243006562582,118.91031148390385,98.09053613351912,67.10598224380793,43.10372984859993,42.870320652166,39.7367015017878,18.03412828935767,16.119809020830164,13.324806654327782,2006-01-03 21:28:54
