,bug_id,at_1,at_2,at_3,at_4,at_5,at_10,component,assignees,assignees_copy,author,chosen,extra,confidence,history_at_1,history_at_2,history_at_3,history_at_4,history_at_5,history_at_6,history_at_7,history_at_8,history_at_9,history_at_10,history_at_1_v,history_at_2_v,history_at_3_v,history_at_4_v,history_at_5_v,history_at_6_v,history_at_7_v,history_at_8_v,history_at_9_v,history_at_10_v,code_at_1,code_at_2,code_at_3,code_at_4,code_at_5,code_at_6,code_at_7,code_at_8,code_at_9,code_at_10,code_at_1_v,code_at_2_v,code_at_3_v,code_at_4_v,code_at_5_v,code_at_6_v,code_at_7_v,code_at_8_v,code_at_9_v,code_at_10_v,api_at_1,api_at_2,api_at_3,api_at_4,api_at_5,api_at_6,api_at_7,api_at_8,api_at_9,api_at_10,api_at_1_v,api_at_2_v,api_at_3_v,api_at_4_v,api_at_5_v,api_at_6_v,api_at_7_v,api_at_8_v,api_at_9_v,api_at_10_v,report_time
3321,279712,1,1,1,1,1,1,Platform-SWT,Silenio Quarti,Silenio Quarti,Silenio Quarti,Silenio Quarti,99745,0.1111111111111111,Silenio Quarti,Felipe Heidrich,Steve Northover,Grant Gayed,Kevin Barnes,Carolyn MacLeod,Duong Nguyen,Billy Biggs,Scott Kovatch,Bogdan Gheorghe,2.50011029570177,1.7017089723351537,1.1099741743565623,0.8552055984029863,0.7429156463727016,0.5876937919263184,0.5780228844699246,0.2780088146508144,0.19028508828972954,0.15120191392388513,Silenio Quarti,Carolyn MacLeod,Grant Gayed,Steve Northover,Veronika Irvine,Scott Kovatch,Mike Wilson,Felipe Heidrich,Kevin Barnes,Christophe Cornu,0.13222214216206443,0.09084270716577122,0.08679113389172202,0.07693636389256306,0.06338572064669512,0.0600384706676172,0.05909342745743572,0.056570202856903465,0.05592150233641734,0.05477604948776793,Silenio Quarti,Felipe Heidrich,Carolyn MacLeod,Grant Gayed,Kevin Barnes,Veronika Irvine,Christophe Cornu,Steve Northover,Knut Radloff,Bogdan Gheorghe,124.12727764832741,76.70716320077999,22.921679472299324,18.101450966137364,10.889907079702702,10.512173381682052,9.281806133412218,8.721709919315387,6.8425656856671155,6.460864424040283,2009-06-09 22:04:36
3322,279877,1,1,1,1,1,1,Platform-SWT,Silenio Quarti,Silenio Quarti,Silenio Quarti,Silenio Quarti,190793,0.2,Silenio Quarti,Kevin Barnes,Felipe Heidrich,Steve Northover,Grant Gayed,Carolyn MacLeod,Scott Kovatch,Bogdan Gheorghe,Billy Biggs,Veronika Irvine,20.98236121444179,8.336170097714058,7.398068290342308,4.654785308984853,3.5693239689044485,3.500431705031084,2.1166270686295037,1.2987207357705566,0.7323234333411096,0.6163235921892518,Silenio Quarti,Kevin Barnes,Grant Gayed,Carolyn MacLeod,Bogdan Gheorghe,Felipe Heidrich,Steve Northover,Scott Kovatch,Duong Nguyen,Veronika Irvine,0.3134228819129013,0.26486212126299014,0.26371771591801446,0.23875630738514095,0.23171467464019202,0.21038118072851675,0.19203321497633363,0.1618153352475862,0.09576184185340526,0.09020031929314107,Silenio Quarti,Felipe Heidrich,Carolyn MacLeod,Veronika Irvine,Grant Gayed,Steve Northover,Christophe Cornu,Scott Kovatch,Bogdan Gheorghe,Duong Nguyen,310.2939075856712,91.38176802710389,52.52966986364264,38.456561000639745,34.457432207741014,21.05929510006372,19.035336263102636,13.165231036737662,11.560503227837025,10.698903123345339,2009-06-10 21:24:35
3323,279917,0,0,0,1,1,1,Platform-SWT,Felipe Heidrich,Felipe Heidrich,Felipe Heidrich,Carolyn MacLeod,222798,0.25,Silenio Quarti,Kevin Barnes,Felipe Heidrich,Grant Gayed,Steve Northover,Bogdan Gheorghe,Carolyn MacLeod,Scott Kovatch,Duong Nguyen,Billy Biggs,7.301190096761468,5.6035294094573445,4.316917635760299,2.808083061563686,1.912083905894777,1.7063035457617513,1.6310583412443849,1.3669499374555665,0.6750814112241652,0.6025980632120413,Carolyn MacLeod,Veronika Irvine,Silenio Quarti,Grant Gayed,Bogdan Gheorghe,Steve Northover,Kevin Barnes,Felipe Heidrich,Billy Biggs,Christophe Cornu,0.47680386001108005,0.2983938680324101,0.1433460218542647,0.11818956390145878,0.10343254468367365,0.08841640563092598,0.07858202638595423,0.07089866444092059,0.059082562908863163,0.05535058023525652,Silenio Quarti,Carolyn MacLeod,Grant Gayed,Felipe Heidrich,Kevin Barnes,Veronika Irvine,Christophe Cornu,Steve Northover,Knut Radloff,Billy Biggs,14.360608336668832,11.41541747699949,9.83872334297979,9.516160103158652,6.589762059671456,5.78353140394085,5.2060806821560135,4.726032278072484,4.28703482912368,4.253562448739035,2009-06-11 09:40:04
3324,280005,0,0,0,0,0,1,Platform-SWT,Bogdan Gheorghe,Bogdan Gheorghe,Bogdan Gheorghe,Silenio Quarti,184922,0.08296943231441048,Silenio Quarti,Grant Gayed,Felipe Heidrich,Kevin Barnes,Steve Northover,Bogdan Gheorghe,Carolyn MacLeod,Scott Kovatch,Billy Biggs,Veronika Irvine,139.84658630946285,55.57776522298206,54.7586908517892,54.05808514247655,32.30291682872385,26.20950138638929,21.89875189970405,21.58797839640863,14.57082344493592,9.33728453206492,Grant Gayed,Silenio Quarti,Carolyn MacLeod,Bogdan Gheorghe,Felipe Heidrich,Veronika Irvine,Christophe Cornu,Kevin Barnes,Steve Northover,Duong Nguyen,2.221983517907088,2.168969429102832,1.8279296011696657,1.5705202626539367,1.4026270026881482,1.287623143297188,1.148488379145074,1.0804538376190016,0.968736777930999,0.9524692381090767,Silenio Quarti,Felipe Heidrich,Carolyn MacLeod,Veronika Irvine,Grant Gayed,Steve Northover,Christophe Cornu,Scott Kovatch,Bogdan Gheorghe,Duong Nguyen,306.5773699438,91.11225125331879,51.70096228771486,38.45460066850604,34.35838563916326,21.042052766304078,19.034249595211076,13.139197491130375,11.446270356041287,10.694048170104075,2009-06-11 20:06:42
3325,280277,1,1,1,1,1,1,Platform-SWT,Silenio Quarti,Silenio Quarti,Silenio Quarti,Silenio Quarti,116110,0.09615384615384616,Silenio Quarti,Kevin Barnes,Felipe Heidrich,Grant Gayed,Steve Northover,Carolyn MacLeod,Scott Kovatch,Bogdan Gheorghe,Billy Biggs,Veronika Irvine,37.87618695134709,26.304824434499857,24.50622964595278,20.98408029416694,13.066019889793754,12.042539590121999,11.138335586943661,9.81189566638215,6.099488693318973,5.711041220947706,Silenio Quarti,Grant Gayed,Carolyn MacLeod,Veronika Irvine,Kevin Barnes,Felipe Heidrich,Bogdan Gheorghe,Steve Northover,Andre Weinand,Christophe Cornu,1.751427503300995,1.085615145674718,1.011260256165402,0.7124863178362578,0.6102990254589447,0.5988382374728901,0.5839691309509735,0.48694427564064763,0.44048357496594315,0.395523472031992,Silenio Quarti,Carolyn MacLeod,Veronika Irvine,Grant Gayed,Steve Northover,Felipe Heidrich,Christophe Cornu,Scott Kovatch,Bogdan Gheorghe,Kevin Barnes,35.79286417171152,27.21212967631738,22.32609830222164,17.848450403266273,16.749165023218197,12.278533920544938,9.384990266936194,8.498927546866035,8.242865657896754,7.466777665078952,2009-06-15 14:48:51
3326,280537,0,0,0,1,1,1,Platform-SWT,Felipe Heidrich,Felipe Heidrich,Felipe Heidrich,Grant Gayed,131724,0.048994974874371856,Silenio Quarti,Felipe Heidrich,Kevin Barnes,Grant Gayed,Steve Northover,Carolyn MacLeod,Bogdan Gheorghe,Scott Kovatch,Duong Nguyen,Veronika Irvine,695.0642758765724,462.3825267685647,417.1994806742291,336.39068915678706,321.18147208018587,272.2349796451957,199.14661335173898,177.8002133049055,121.32452170668302,112.34129187639405,Grant Gayed,Kevin Barnes,Silenio Quarti,Carolyn MacLeod,Steve Northover,Bogdan Gheorghe,Felipe Heidrich,Scott Kovatch,Duong Nguyen,Veronika Irvine,35.30429681635231,14.57302133774929,12.320579071490178,10.203306483668051,8.449843364810503,7.866276548217215,7.678585575844169,5.310865423888608,5.211808948680792,4.917874087868595,Silenio Quarti,Grant Gayed,Felipe Heidrich,Carolyn MacLeod,Veronika Irvine,Steve Northover,Christophe Cornu,Scott Kovatch,Bogdan Gheorghe,Duong Nguyen,291.9736281462818,203.5415124016147,89.95642837101907,47.52159689014166,37.521214025616565,20.953016840031935,19.028401319260603,13.006470033903149,11.002985849586075,9.115540570930794,2009-06-16 22:37:37
3327,280569,0,0,0,1,1,1,Platform-SWT,Kevin Barnes,Kevin Barnes,Kevin Barnes,Grant Gayed,271179,0.09302325581395349,Felipe Heidrich,Silenio Quarti,Kevin Barnes,Grant Gayed,Steve Northover,Scott Kovatch,Carolyn MacLeod,Bogdan Gheorghe,Veronika Irvine,Billy Biggs,37.1464769984475,35.11297964169127,28.137228960324098,23.87351105197599,19.06063901552991,12.829896790207357,10.702288763064322,8.469053323339983,6.801710251158344,6.11828481041141,Grant Gayed,Kevin Barnes,Silenio Quarti,Carolyn MacLeod,Felipe Heidrich,Steve Northover,Scott Kovatch,Veronika Irvine,Bogdan Gheorghe,Duong Nguyen,1.9204423338192043,1.3011405014794448,1.237222011203815,0.9663238376856852,0.8760696678788509,0.8146285470904319,0.6394658580496969,0.6274285625589877,0.619386281860037,0.5137698342676321,Grant Gayed,Silenio Quarti,Carolyn MacLeod,Felipe Heidrich,Kevin Barnes,Veronika Irvine,Christophe Cornu,Steve Northover,Knut Radloff,Billy Biggs,37.09230760371376,11.296113058253255,10.679314928820512,8.827514516071194,6.195650740047025,5.779163442807089,5.203431493663801,4.672676569128166,4.285114969103041,4.251179844137135,2009-06-17 06:17:16
3328,280708,0,0,1,1,1,1,Platform-SWT,Felipe Heidrich,Felipe Heidrich,Felipe Heidrich,Silenio Quarti,223932,0.148,Silenio Quarti,Felipe Heidrich,Kevin Barnes,Grant Gayed,Steve Northover,Carolyn MacLeod,Bogdan Gheorghe,Scott Kovatch,Billy Biggs,Veronika Irvine,163.27118716066147,127.54331997857999,99.90096406376031,83.31746948877078,78.0936900689761,59.45025950026615,46.78063045207048,43.1379698409625,24.565032882051767,21.029352414279685,Grant Gayed,Kevin Barnes,Silenio Quarti,Carolyn MacLeod,Felipe Heidrich,Bogdan Gheorghe,Steve Northover,Scott Kovatch,Veronika Irvine,Christophe Cornu,5.297195169072455,3.5062546685009237,3.449866739278692,3.0642941443385854,2.5542382064505498,1.8187039639169686,1.7213969215334994,1.6185685318505334,1.4595386334348153,1.2907560323261662,Silenio Quarti,Grant Gayed,Felipe Heidrich,Carolyn MacLeod,Veronika Irvine,Steve Northover,Christophe Cornu,Scott Kovatch,Bogdan Gheorghe,Duong Nguyen,290.16943921588745,107.708371172068,89.73823749219031,46.90111140554428,37.518761367235705,20.93301027669204,19.027030696953055,12.977018020330028,10.92525999888781,9.10976327029459,2009-06-18 03:25:21
3329,280921,1,1,1,1,1,1,Platform-SWT,Silenio Quarti,Silenio Quarti,Silenio Quarti,Silenio Quarti,151137,0.19883040935672514,Silenio Quarti,Kevin Barnes,Felipe Heidrich,Grant Gayed,Steve Northover,Carolyn MacLeod,Bogdan Gheorghe,Scott Kovatch,Veronika Irvine,Billy Biggs,93.15709063732967,72.05189062140059,68.71369162068069,63.601790237431864,57.29980004759696,45.190761985422796,32.88316072771247,27.74669840444227,20.84025136458467,18.44283966484728,Grant Gayed,Kevin Barnes,Carolyn MacLeod,Silenio Quarti,Felipe Heidrich,Steve Northover,Bogdan Gheorghe,Scott Kovatch,Duong Nguyen,Veronika Irvine,2.744384842919937,2.0895341702857007,2.0114533233629275,1.9618614077057046,1.4177159935427845,1.2680513866801912,1.1390020958574318,1.0438600683162407,0.8443189279573629,0.8071925035329871,Silenio Quarti,Felipe Heidrich,Grant Gayed,Carolyn MacLeod,Veronika Irvine,Kevin Barnes,Christophe Cornu,Steve Northover,Knut Radloff,Billy Biggs,109.40571149551036,74.31681218970303,37.31150944211596,19.788113179706123,10.500309277815237,9.682259618895124,9.274417434525759,8.545563090481314,6.837406256274649,6.26608090977079,2009-06-19 13:47:55
3330,280976,0,1,1,1,1,1,Platform-SWT,Kevin Barnes,Kevin Barnes,Kevin Barnes,Silenio Quarti,256687,0.1,Silenio Quarti,Felipe Heidrich,Kevin Barnes,Grant Gayed,Steve Northover,Carolyn MacLeod,Scott Kovatch,Bogdan Gheorghe,Veronika Irvine,Billy Biggs,41.19621635989804,35.22450685560733,35.17009898769266,23.647825902970812,22.35123187593603,16.988326639403876,13.41591073705575,10.840076520398217,7.800723077558058,6.977170586858737,Kevin Barnes,Grant Gayed,Carolyn MacLeod,Silenio Quarti,Felipe Heidrich,Steve Northover,Scott Kovatch,Bogdan Gheorghe,Duong Nguyen,Veronika Irvine,1.1106742937044782,1.0280951826106097,1.0211014725900458,0.8015487824699239,0.6677820716647267,0.5602552160510502,0.5220450960491513,0.4455941194911046,0.4091560331504519,0.35516172097560844,Grant Gayed,Silenio Quarti,Carolyn MacLeod,Felipe Heidrich,Kevin Barnes,Veronika Irvine,Christophe Cornu,Steve Northover,Knut Radloff,Billy Biggs,18.228864645387617,10.415498735050893,10.389296818769648,8.535987401921288,6.018392437248996,5.776661330627076,5.201911818954854,4.643868625415713,4.284013099678663,4.249813635870305,2009-06-20 15:18:44
