,Unnamed: 0,bug_id,at_1,at_2,at_3,at_4,at_5,at_10,component,assignees,author,chosen,similar_bug,jaccard_score,history_at_1,history_at_2,history_at_3,history_at_4,history_at_5,history_at_6,history_at_7,history_at_8,history_at_9,history_at_10,history_at_1_v,history_at_2_v,history_at_3_v,history_at_4_v,history_at_5_v,history_at_6_v,history_at_7_v,history_at_8_v,history_at_9_v,history_at_10_v,code_at_1,code_at_2,code_at_3,code_at_4,code_at_5,code_at_6,code_at_7,code_at_8,code_at_9,code_at_10,code_at_1_v,code_at_2_v,code_at_3_v,code_at_4_v,code_at_5_v,code_at_6_v,code_at_7_v,code_at_8_v,code_at_9_v,code_at_10_v,api_at_1,api_at_2,api_at_3,api_at_4,api_at_5,api_at_6,api_at_7,api_at_8,api_at_9,api_at_10,api_at_1_v,api_at_2_v,api_at_3_v,api_at_4_v,api_at_5_v,api_at_6_v,api_at_7_v,api_at_8_v,api_at_9_v,api_at_10_v,report_time
385,6059,347302,0,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Markus Keller,30706,0.03524904214559387,JDT-UI-Inbox,Martin Aeschlimann,Markus Keller,Dirk Baeumer,Benno Baumgartner,Dani Megert,Tobias Widmer,Adam Kiezun,Erich Gamma,Claude Knaus,297.18531949558775,294.8776412481409,255.52747828120397,243.1676137119361,206.8304232508216,183.87689741213936,179.25775451185288,134.35027220668042,131.65966739605628,98.73311268629273,Dani Megert,Markus Keller,Martin Aeschlimann,Raksha Vasisht,Deepak Azad,Benno Baumgartner,Dirk Baeumer,teicher,Adam Kiezun,Erich Gamma,80.08506882084605,74.11024637854129,48.98694181935422,44.93549467578434,40.98450571065487,29.29759059805207,25.59294312074421,22.353395850146256,21.899511891780413,21.40243841047463,Markus Keller,Dani Megert,Martin Aeschlimann,Adam Kiezun,Benno Baumgartner,Dirk Baeumer,Deepak Azad,Darin Wright,Raksha Vasisht,Tobias Widmer,216.901534921644,184.74232771221816,102.5859374881222,100.88638643487177,66.50635387347586,63.884852704944066,61.89265359715753,61.582513671770535,50.50242791218642,42.315248839663205,2011-05-26 12:32:51
130,5804,306752,1,1,1,1,1,1,JDT-Text,Dani Megert,Dani Megert,Dani Megert,178819,0.11875,Dani Megert,JDT-Text-Inbox,Tom Hofmann,Benno Baumgartner,Christof Marti,Martin Aeschlimann,Markus Keller,Claude Knaus,Kai-Uwe Maetzel,Tomasz Zarna,51.604787863022935,33.566954501290326,17.581731369715072,16.046655368324462,8.688015396851723,6.158771820480451,5.839355133331367,3.5493716373877726,2.942512564391345,1.9014762770815468,Dani Megert,Markus Keller,Martin Aeschlimann,Dirk Baeumer,teicher,Adam Kiezun,Tobias Widmer,Benno Baumgartner,Claude Knaus,Kai-Uwe Maetzel,6.4944069733545575,3.034993530333625,1.7907860326514409,1.669700435389092,1.1172461498655406,0.8034189978655247,0.7509821801093879,0.6725016136365629,0.5565786511475744,0.503046001758316,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Darin Wright,Adam Kiezun,Claude Knaus,405.9651975694198,320.118436878396,141.59928739022382,80.5703999807171,64.02941313802026,63.27179227380189,60.8191760338099,58.69335739505732,47.113661865854,34.16955943564157,2010-03-22 18:41:45
132,5806,306763,0,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Markus Keller,178819,0.10497237569060773,Martin Aeschlimann,Markus Keller,JDT-UI-Inbox,Dani Megert,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Adam Kiezun,Erich Gamma,Moshe WAJNBERG,28.48892314226624,26.475066777159764,24.19787342828864,14.425778096793456,14.063043808628011,13.08569858581487,11.413028788303551,10.202380949878906,9.515481528502368,8.712015088641353,Dani Megert,Markus Keller,teicher,Dirk Baeumer,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Claude Knaus,Andre Weinand,Adam Kiezun,10.965615133178408,9.257264834187364,2.5022382647292694,2.4852961055663942,2.2872218908679582,2.1545288090453005,1.8453972880897744,1.591173926763516,1.5370576322365357,1.5166414883201222,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Darin Wright,Adam Kiezun,Erich Gamma,753.4054378507586,495.9171924376014,219.43989123592087,137.72239994899564,108.76365151646893,106.52453063156237,101.70955572553305,87.93320717232366,78.04291748911554,56.18782641995709,2010-03-22 20:05:53
261,5935,327079,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,116342,0.14942528735632185,Markus Keller,Martin Aeschlimann,JDT-UI-Inbox,Benno Baumgartner,Tobias Widmer,Dirk Baeumer,Erich Gamma,Dani Megert,Adam Kiezun,Karsten Becker,14.705712707851152,14.05924216914127,11.534295183688474,10.939587032531424,9.720122234216056,9.417269042191542,8.096818425040473,7.789313976012447,6.277214155877675,3.933552576031951,Dani Megert,Markus Keller,Raksha Vasisht,Benno Baumgartner,Martin Aeschlimann,Deepak Azad,teicher,Tobias Widmer,Dirk Baeumer,Adam Kiezun,2.893571850540492,2.8595415410162417,1.788440548130544,1.338776290612563,1.3243903235878904,1.217374121061991,1.2150315082263707,1.2144285827878192,1.1793600225928798,1.1151090127556782,Dani Megert,Markus Keller,Dirk Baeumer,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Adam Kiezun,teicher,Andre Weinand,Darin Wright,240.84574075429626,171.89062066374458,137.68924456901257,135.04575019318017,84.964103998281,68.22184094339501,64.43376857771918,62.727492569956894,56.4671897775082,52.02473729238829,2010-10-06 09:34:20
271,5945,329614,1,1,1,1,1,1,JDT-Text,Markus Keller,Markus Keller,Markus Keller,55968,0.09615384615384616,JDT-Text-Inbox,Dani Megert,Tom Hofmann,Benno Baumgartner,Christof Marti,Martin Aeschlimann,Markus Keller,Claude Knaus,Kai-Uwe Maetzel,Platform-UI-Inbox,43.74478920654873,33.249585915153254,28.4204949211281,18.575942869492017,9.676395068564677,9.62305297969999,7.403826859652916,7.1112236681846985,4.089448587801615,3.842415531560022,Markus Keller,Dani Megert,Deepak Azad,Raksha Vasisht,Martin Aeschlimann,teicher,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Adam Kiezun,6.309997280120335,3.0763898459848016,2.011875476241395,1.1482494472343152,1.015513540870889,0.9837548884224284,0.9490517463694516,0.911798818725838,0.8557866447338296,0.8418447680519544,Dani Megert,Markus Keller,Deepak Azad,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Dirk Baeumer,Darin Wright,teicher,Adam Kiezun,344.3655318077832,148.9122164881024,136.83033329483746,134.9251393862353,75.54272753942472,58.39407071811564,57.977299173934355,57.686910521685725,56.567026521567065,48.085887233622906,2010-11-06 15:32:47
147,5821,309163,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,243712,0.10526315789473684,Martin Aeschlimann,Markus Keller,JDT-UI-Inbox,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Dani Megert,Erich Gamma,Grant Gayed,Adam Kiezun,13.908953697232482,11.922848483945732,11.05134405183544,10.826078753508034,7.770583035308121,7.495295411698437,7.36916841185516,7.362866926042986,2.951921757705254,2.7168965085429178,Markus Keller,Dani Megert,Martin Aeschlimann,Tobias Widmer,Benno Baumgartner,Dirk Baeumer,teicher,Adam Kiezun,Christof Marti,Erich Gamma,5.7117582392335216,5.437762247894182,2.1997179864244742,1.5783609468523208,1.5732390645898542,1.5161918388961122,1.161606158481049,0.7593979285783544,0.7254791464232521,0.7108008661863565,Dani Megert,Markus Keller,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Darin Wright,Adam Kiezun,Erich Gamma,597.3340407232388,405.10904601074685,218.67559107460758,136.37216147328448,108.53201969315829,106.04671111116262,101.55254805424086,87.88222716197811,77.98306408189373,56.102346051950285,2010-04-14 16:43:23
277,5951,330680,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,18116,0.1068702290076336,Markus Keller,Martin Aeschlimann,Dirk Baeumer,JDT-UI-Inbox,Benno Baumgartner,Tobias Widmer,Dani Megert,Erich Gamma,Adam Kiezun,Platform-Text-Inbox,25.676864282888978,25.295884216797877,22.122675273334107,18.662089628505576,16.802609024708563,16.280788824004635,14.833369527802192,11.600534186970705,11.31029996673238,5.935962838080348,Markus Keller,Dani Megert,Deepak Azad,Martin Aeschlimann,teicher,Raksha Vasisht,Dirk Baeumer,Benno Baumgartner,Adam Kiezun,Tobias Widmer,7.186279450255167,6.908434936067558,4.403076877215208,2.734318162039576,2.447856816623518,2.443829801341181,2.242307250104104,2.1680250007582336,2.099648405693684,2.0971228455426663,Dani Megert,Markus Keller,Dirk Baeumer,Martin Aeschlimann,Deepak Azad,Benno Baumgartner,Tobias Widmer,Adam Kiezun,teicher,Andre Weinand,194.2451138591811,158.44432653452975,136.73734856716715,133.39182029565947,84.43583487934681,82.79412346331854,67.28646828882887,63.695904807050994,61.78709489122539,56.159908085754054,2010-11-19 16:32:02
158,5832,310687,0,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Markus Keller,62398,0.07792207792207792,JDT-UI-Inbox,Markus Keller,Martin Aeschlimann,Dani Megert,Dirk Baeumer,Benno Baumgartner,Tobias Widmer,Adam Kiezun,Erich Gamma,Kai-Uwe Maetzel,18.791178748414765,13.16653322985842,12.324727587710715,9.81805410099399,9.143995791626306,7.986062846983397,7.271853485081331,5.746636715854413,5.41750755468725,3.510722001150158,Dani Megert,Markus Keller,Martin Aeschlimann,teicher,Kai-Uwe Maetzel,Erich Gamma,Claude Knaus,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,4.855712711560198,4.28993909540677,1.6885475980146227,1.5518040544626783,1.3525609711195528,1.2885368000352384,1.287795513732824,1.0897095315184937,1.0442497228850949,1.0259852268421177,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Darin Wright,Adam Kiezun,Claude Knaus,828.6701887067136,671.4754866237333,221.12194040898115,142.0035424259521,107.3149573891475,104.80108710350187,100.44114248978524,87.14624961497901,81.39566518186383,55.31829425599233,2010-04-27 18:26:24
31,5705,294322,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,221782,0.0986842105263158,Markus Keller,Martin Aeschlimann,JDT-UI-Inbox,Dani Megert,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Erich Gamma,Ferenc Hechler,Grant Gayed,33.54650583223429,29.02032257192589,25.72377724861517,25.657192337133388,25.117120353842076,21.48883643961472,14.94014669074434,12.615126014406114,11.747530592963894,10.574072261802248,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,teicher,Tobias Widmer,Erich Gamma,Adam Kiezun,Andre Weinand,8.76901294207659,7.724311900202178,3.698390125218444,2.76129357337322,2.7361398039814726,2.5364817767115446,2.4156599625945288,2.03733514918259,1.9780889467291145,1.8112222581897033,Dani Megert,Markus Keller,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Darin Wright,Adam Kiezun,Erich Gamma,581.6476554392917,283.40562706919155,225.44776350015644,150.54100689726025,110.72104274266908,110.43570368323759,103.0845829062528,88.50885024811123,78.99116326109105,57.0982764646855,2009-11-05 14:25:09
164,5838,311162,1,1,1,1,1,1,JDT-Text,Dani Megert,Dani Megert,Dani Megert,49182,0.125,Dani Megert,JDT-Text-Inbox,Tom Hofmann,Markus Keller,Benno Baumgartner,Christof Marti,Martin Aeschlimann,Kai-Uwe Maetzel,Tom Eicher,Claude Knaus,2.1781140932390937,2.1469527945836613,1.7349712578550203,0.7933644729744865,0.6062817874457211,0.5771075630004814,0.3978824959357508,0.3725377029322458,0.20260657282823505,0.1625753955008758,Markus Keller,Dani Megert,Benno Baumgartner,teicher,Martin Aeschlimann,Tobias Widmer,Dirk Baeumer,Christof Marti,Kai-Uwe Maetzel,Erich Gamma,0.082942838161399,0.07121837598513177,0.04601458621194585,0.0457925698578419,0.042899132087416685,0.04173169777326735,0.03879911286236889,0.038570295444694536,0.038342586719296176,0.03826569772553248,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Adam Kiezun,teicher,Darin Wright,Erich Gamma,366.6262155357279,285.954638387603,256.0530260528577,90.79143708416422,79.94492136824856,64.85596304706307,62.79471813023611,58.71950379124824,41.165172470989695,36.6504209984796,2010-04-30 12:20:30
